4000,11, 0.487, 0.487, 0.504, 0.340, 0.688, 0.377, 0.487
5000,8, 0.508, 0.508, 0.524, 0.362, 0.702, 0.399, 0.508
5000,9, 0.508, 0.508, 0.523, 0.362, 0.699, 0.399, 0.508
5000,10, 0.508, 0.508, 0.522, 0.363, 0.695, 0.400, 0.508
5000,11, 0.509, 0.509, 0.522, 0.363, 0.694, 0.401, 0.509
6000,8, 0.519, 0.519, 0.533, 0.374, 0.704, 0.411, 0.519
6000,9, 0.518, 0.518, 0.531, 0.374, 0.703, 0.410, 0.518
6000,10, 0.521, 0.521, 0.534, 0.377, 0.701, 0.414, 0.521
6000,11, 0.526, 0.526, 0.539, 0.380, 0.706, 0.419, 0.526
7000,8, 0.540, 0.540, 0.551, 0.394, 0.713, 0.434, 0.540
11000,0, 0.591, 0.591, 0.597, 0.452, 0.730, 0.497, 0.591
11000,1, 0.595, 0.595, 0.601, 0.455, 0.730, 0.502, 0.595
11000,2, 0.597, 0.597, 0.603, 0.453, 0.737, 0.501, 0.597
11000,3, 0.599, 0.599, 0.604, 0.454, 0.736, 0.504, 0.599
11000,4, 0.597, 0.597, 0.602, 0.455, 0.727, 0.506, 0.597
11000,5, 0.596, 0.596, 0.602, 0.454, 0.729, 0.505, 0.596
11000,6, 0.596, 0.596, 0.601, 0.453, 0.729, 0.504, 0.596
11000,7, 0.605, 0.605, 0.610, 0.461, 0.735, 0.513, 0.605
11000,8, 0.636, 0.636, 0.640, 0.496, 0.755, 0.550, 0.636
11000,9, 0.649, 0.649, 0.651, 0.510, 0.760, 0.566, 0.649
11000,10, 0.654, 0.654, 0.657, 0.517, 0.765, 0.571, 0.654
11000,11, 0.655, 0.655, 0.658, 0.520, 0.770, 0.570, 0.655
11000,12, 0.652, 0.652, 0.655, 0.517, 0.768, 0.566, 0.652
12000,0, 0.594, 0.594, 0.601, 0.450, 0.740, 0.497, 0.594
12000,1, 0.600, 0.600, 0.605, 0.460, 0.732, 0.508, 0.600
12000,2, 0.602, 0.602, 0.608, 0.458, 0.740, 0.508, 0.602
12000,3, 0.603, 0.603, 0.609, 0.459, 0.738, 0.510, 0.603
12000,4, 0.603, 0.603, 0.608, 0.458, 0.737, 0.510, 0.603
12000,5, 0.600, 0.600, 0.605, 0.457, 0.730, 0.509, 0.600
12000,6, 0.598, 0.598, 0.604, 0.456, 0.730, 0.507, 0.598
12000,7, 0.614, 0.614, 0.619, 0.467, 0.749, 0.520, 0.614
12000,8, 0.643, 0.643, 0.646, 0.504, 0.757, 0.559, 0.643
12000,9, 0.658, 0.658, 0.660, 0.523, 0.766, 0.576, 0.658
12000,10, 0.663, 0.663, 0.665, 0.529, 0.775, 0.579, 0.663
12000,11, 0.664, 0.664, 0.667, 0.531, 0.778, 0.578, 0.664
12000,12, 0.660, 0.660, 0.663, 0.526, 0.773, 0.576, 0.660
13000,0, 0.598, 0.598, 0.604, 0.454, 0.740, 0.501, 0.598
13000,1, 0.602, 0.602, 0.607, 0.464, 0.734, 0.510, 0.602
7000,0, 0.544, 0.544, 0.556, 0.397, 0.717, 0.438, 0.544
7000,1, 0.544, 0.544, 0.556, 0.396, 0.720, 0.436, 0.544
7000,2, 0.544, 0.544, 0.556, 0.396, 0.720, 0.437, 0.544
7000,3, 0.545, 0.545, 0.557, 0.396, 0.719, 0.439, 0.545
7000,4, 0.547, 0.547, 0.557, 0.398, 0.716, 0.442, 0.547
7000,5, 0.544, 0.544, 0.554, 0.400, 0.707, 0.442, 0.544
7000,6, 0.542, 0.542, 0.552, 0.398, 0.707, 0.439, 0.542
7000,7, 0.535, 0.535, 0.547, 0.390, 0.709, 0.430, 0.535
21000,0, 0.609, 0.609, 0.615, 0.468, 0.747, 0.514, 0.609
21000,1, 0.614, 0.614, 0.619, 0.472, 0.746, 0.522, 0.614
21000,2, 0.618, 0.618, 0.622, 0.477, 0.744, 0.528, 0.618
21000,3, 0.620, 0.620, 0.624, 0.478, 0.744, 0.531, 0.620
21000,4, 0.620, 0.620, 0.624, 0.478, 0.742, 0.532, 0.620
21000,5, 0.619, 0.619, 0.623, 0.479, 0.739, 0.533, 0.619
21000,6, 0.619, 0.619, 0.623, 0.480, 0.739, 0.533, 0.619
21000,7, 0.644, 0.644, 0.647, 0.502, 0.760, 0.558, 0.644
21000,8, 0.675, 0.675, 0.677, 0.544, 0.776, 0.598, 0.675
21000,9, 0.692, 0.692, 0.693, 0.568, 0.791, 0.615, 0.692
21000,10, 0.697, 0.697, 0.699, 0.574, 0.800, 0.617, 0.697
21000,11, 0.698, 0.698, 0.700, 0.577, 0.806, 0.615, 0.698
21000,12, 0.694, 0.694, 0.696, 0.571, 0.797, 0.615, 0.694
22000,0, 0.610, 0.610, 0.616, 0.470, 0.747, 0.516, 0.610
22000,1, 0.614, 0.614, 0.619, 0.477, 0.743, 0.523, 0.614
22000,2, 0.619, 0.619, 0.623, 0.478, 0.743, 0.531, 0.619
22000,3, 0.620, 0.620, 0.625, 0.479, 0.745, 0.532, 0.620
22000,4, 0.621, 0.621, 0.625, 0.480, 0.743, 0.534, 0.621
22000,5, 0.621, 0.621, 0.624, 0.482, 0.739, 0.535, 0.621
22000,6, 0.621, 0.621, 0.624, 0.482, 0.739, 0.535, 0.621
22000,7, 0.646, 0.646, 0.649, 0.505, 0.762, 0.560, 0.646
22000,8, 0.678, 0.678, 0.681, 0.547, 0.785, 0.597, 0.678
22000,9, 0.688, 0.688, 0.691, 0.562, 0.801, 0.602, 0.688
22000,10, 0.695, 0.695, 0.697, 0.570, 0.805, 0.611, 0.695
22000,11, 0.702, 0.702, 0.704, 0.582, 0.804, 0.624, 0.702
22000,12, 0.696, 0.696, 0.698, 0.573, 0.798, 0.617, 0.696
23000,0, 0.610, 0.610, 0.616, 0.469, 0.747, 0.515, 0.610
23000,1, 0.614, 0.614, 0.619, 0.477, 0.744, 0.523, 0.614
41000,0, 0.621, 0.621, 0.625, 0.487, 0.745, 0.533, 0.621
41000,1, 0.625, 0.625, 0.629, 0.485, 0.751, 0.535, 0.625
41000,2, 0.629, 0.629, 0.632, 0.489, 0.748, 0.543, 0.629
41000,3, 0.630, 0.630, 0.633, 0.489, 0.749, 0.543, 0.630
41000,4, 0.632, 0.632, 0.635, 0.492, 0.747, 0.547, 0.632
41000,5, 0.632, 0.632, 0.636, 0.493, 0.750, 0.547, 0.632
41000,6, 0.634, 0.634, 0.637, 0.496, 0.749, 0.550, 0.634
41000,7, 0.664, 0.664, 0.666, 0.527, 0.774, 0.581, 0.664
41000,8, 0.689, 0.689, 0.692, 0.562, 0.796, 0.608, 0.689
41000,9, 0.713, 0.713, 0.714, 0.592, 0.811, 0.636, 0.713
41000,10, 0.723, 0.723, 0.724, 0.606, 0.818, 0.647, 0.723
41000,11, 0.717, 0.717, 0.720, 0.601, 0.824, 0.635, 0.717
41000,12, 0.711, 0.711, 0.713, 0.592, 0.814, 0.631, 0.711
42000,0, 0.617, 0.617, 0.623, 0.478, 0.753, 0.523, 0.617
42000,1, 0.625, 0.625, 0.629, 0.485, 0.751, 0.535, 0.625
42000,2, 0.627, 0.627, 0.631, 0.488, 0.748, 0.540, 0.627
42000,3, 0.629, 0.629, 0.632, 0.489, 0.749, 0.542, 0.629
42000,4, 0.631, 0.631, 0.634, 0.491, 0.747, 0.546, 0.631
42000,5, 0.632, 0.632, 0.635, 0.493, 0.749, 0.546, 0.632
42000,6, 0.634, 0.634, 0.637, 0.496, 0.748, 0.549, 0.634
